3.269,3.391,-16,83,-16,83,black
3.391,3.408,-16,83,-16,83,black
3.408,3.422,-16,83,-16,83,black
3.422,3.438,-15,84,-15,84,black
3.438,3.453,-15,84,-15,84,black
3.453,3.468,-13,86,-13,86,black
3.468,3.483,-12,87,-12,87,black
3.483,3.498,-11,88,-11,88,black
3.498,3.513,-9,90,-9,90,black
3.513,3.527,-4,95,-4,95,black
3.527,3.544,-1,98,-1,98,black
3.544,3.558,2,102,2,102,black
3.558,3.574,6,106,6,106,black
3.574,3.588,10,110,10,110,black
3.588,3.603,14,114,14,114,black
3.603,3.62,18,118,18,118,black
3.62,3.673,22,122,22,122,black
3.673,3.683,30,130,30,130,black
3.683,3.693,32,132,32,132,black
3.693,3.709,34,134,34,134,black
3.709,3.726,35,135,35,135,black
3.726,3.743,36,136,36,136,black
3.743,3.755,37,137,37,137,black
3.755,3.772,39,139,39,139,black
3.772,3.784,41,141,41,141,black
3.784,3.8,42,142,42,142,black
3.8,3.895,44,144,44,144,black
3.895,3.896,45,145,45,145,black
3.896,3.9,54,154,54,154,black
3.9,3.917,56,156,56,156,black
3.917,3.932,58,158,58,158,black
3.932,3.948,60,160,60,160,black
3.948,3.965,62,162,62,162,black
3.965,3.978,64,164,64,164,black
3.978,3.993,65,165,65,165,black
3.993,4.008,67,167,67,167,black
4.008,4.022,68,168,68,168,black
4.022,4.04,69,169,69,169,black
4.04,4.143,71,171,71,171,black
4.143,4.155,81,181,81,181,black
4.155,4.172,82,182,82,182,black
4.172,4.187,83,183,83,183,black
4.187,4.231,85,185,85,185,black
4.231,4.245,88,188,88,188,black
4.245,4.261,89,189,89,189,black
4.261,4.277,91,191,91,191,black
4.277,4.292,92,192,92,192,black
4.292,4.307,94,194,94,194,black
4.307,4.322,95,195,95,195,black
4.322,4.337,96,196,96,196,black
4.337,4.353,97,197,97,197,black
4.353,4.368,97,197,97,197,black
4.368,4.386,98,198,98,198,black
4.386,4.399,98,198,98,198,black
4.399,4.416,98,198,98,198,black
4.416,4.44,98,198,98,198,black
4.44,4.457,98,198,98,198,black
4.457,4.49,99,199,99,199,black
4.49,4.575,99,199,99,199,black
4.575,4.589,99,199,99,199,black
4.589,4.682,99,199,99,199,black
4.682,4.711,99,199,99,199,black
4.711,4.749,99,199,99,199,black
4.749,5.749,149,149,46,46,black
